Latency_ms,Packet_Loss_%,Throughput_Mbps,User_Density,Bandwidth_Utilization_%,Jitter_ms,SNR_dB,Signal_Strength_dBm,Queue_Length,CPU_Utilization_%,Memory_Usage_%,Active_Connections,Retransmission_Rate_%,Network_Load_%,Cell_Interference_Level,Congestion_Level
126.93895461993388,6.893927679903596,721.3742252491031,126,89.19865483930573,27.675030677036535,23.18021925164656,-58.48676625515794,600,81.1196179961707,27.44860269857576,4881,2.667988332129828,68.96536963358068,5,2
240.0681668904391,9.672521084553017,652.6052243275304,119,50.88901018028037,8.266148056583964,20.159522515225262,-94.06398686419934,651,65.88726286037357,35.02187866834767,3166,7.558323279371974,60.078363289737965,1,3
124.11696454470663,5.852600976663558,48.06008051757283,867,94.60331275493732,46.85780894626532,22.87437673426338,-86.78782671431425,841,24.650238254745556,55.05564243326001,3455,2.1669389069517164,40.81443670776553,4,2
252.27584785589744,4.618539047115904,456.1262840317993,1632,22.49434246431452,10.457955869052514,21.319254571528596,-90.59045155008076,193,16.950261107034674,63.238630239597356,700,4.453000066395128,24.796571713268065,7,3
139.56383173406127,6.13742386537737,297.35680331866695,1086,47.8144875374363,25.509014240340672,11.17698924082302,-61.009914298696,559,44.11459119656318,47.7900189667207,1602,3.945824988783377,11.104772287366636,2,2
33.34816302686396,9.127311873801055,120.53422816936084,1136,31.0627588540489,29.599211895540822,10.488245531702049,-82.6442577081965,176,48.44422684879872,27.00306309641006,3199,6.451236801426326,25.966136559863028,7,3
71.10257948045287,8.51483004081843,404.9827016345527,427,56.47881029705644,44.78143770120949,7.591858670419972,-106.15632565887283,667,26.879107191248067,41.33494002947096,1790,6.576758939586473,12.482951612496436,2,1
239.6104852100845,2.7763683987749754,513.2871702357013,892,28.46475926090356,3.897124166134542,34.14495472962989,-85.00929390742185,625,41.32584746008407,87.84260420463453,592,3.4313402335436924,51.25773398302214,7,3
121.98337040264852,7.812409850145845,708.9024139891608,1680,60.318864793037164,25.304949819936684,23.510811366198535,-89.23768805679833,404,88.46670851359004,52.88114392736843,3996,4.16448790821091,47.00327873081443,4,2
127.52529992751624,1.5978566871937594,437.74537142126286,1195,26.29394563836293,27.565861936728624,38.13366020550482,-91.92295750274829,859,47.645947687151946,19.45147954580836,4411,3.9474568397532366,47.82306158290113,1,2
183.33075124433017,5.533758296725484,398.38402058602776,324,91.66212138509127,38.01383095480117,10.514690703221014,-59.189755951722695,952,57.853289107020224,58.483541505279064,4360,7.000558872003834,76.05264911296281,7,2
78.4888033646252,4.828213058811133,352.5359611022855,649,90.5961400931388,18.43000184977684,15.782246607298678,-90.59230142908574,268,70.55326261656553,34.94794922480411,2109,1.9851664989934168,38.13240616921817,1,1
173.3350317688669,1.5215317730291023,505.96868970127036,10,68.67769052752084,10.254455705186952,23.901580751625414,-85.86291950883377,206,72.23931346059567,14.775260638187637,2280,3.702170563650869,93.09617961404321,9,2
105.69355437975945,2.3692224564678743,679.9501523842738,1551,65.34334859056202,35.75247087218612,34.62987921396814,-104.91431464251573,898,94.40998120073002,54.45472279053061,560,7.016885872324004,82.84327751013393,3,2
